Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Symbol,Sector
2021-01-04,61.7400016784668,62.150001525878906,60.5,61.380001068115234,54.056888580322266,12429600,0.0,BMY,healthcare
2021-01-05,61.11000061035156,61.709999084472656,60.470001220703125,61.54999923706055,54.20658874511719,11584600,0.0,BMY,healthcare
2021-01-06,60.54999923706055,62.04999923706055,60.52000045776367,61.70000076293945,54.33870315551758,12426200,0.0,BMY,healthcare
2021-01-07,61.34000015258789,62.630001068115234,61.0,62.36000061035156,54.91995620727539,10931900,0.0,BMY,healthcare
2021-01-08,62.189998626708984,63.18000030517578,62.150001525878906,62.4900016784668,55.03445816040039,10010500,0.0,BMY,healthcare
2021-01-11,63.400001525878906,65.25,63.2400016784668,64.97000122070312,57.21855926513672,18185700,0.0,BMY,healthcare
2021-01-12,65.36000061035156,66.30000305175781,64.91000366210938,65.43000030517578,57.623687744140625,15757500,0.0,BMY,healthcare
2021-01-13,65.5,65.95999908447266,64.63999938964844,64.7300033569336,57.007205963134766,10292400,0.0,BMY,healthcare
2021-01-14,64.91000366210938,66.37000274658203,64.77999877929688,66.0199966430664,58.143287658691406,12479800,0.0,BMY,healthcare
2021-01-15,66.0199966430664,66.86000061035156,65.54000091552734,66.54000091552734,58.60125732421875,11296500,0.0,BMY,healthcare
2021-01-19,66.8499984741211,67.16000366210938,66.33000183105469,66.73999786376953,58.77738952636719,10847800,0.0,BMY,healthcare
2021-01-20,66.56999969482422,66.81999969482422,66.0,66.25,58.34584426879883,9609600,0.0,BMY,healthcare
2021-01-21,65.6500015258789,66.19999694824219,63.97999954223633,64.18000030517578,56.52281951904297,14064300,0.0,BMY,healthcare
2021-01-22,63.88999938964844,65.02999877929688,63.7599983215332,64.55999755859375,56.857479095458984,9071900,0.0,BMY,healthcare
2021-01-25,64.63999938964844,65.13999938964844,63.959999084472656,64.83000183105469,57.095272064208984,9171000,0.0,BMY,healthcare
2021-01-26,64.5,65.6500015258789,64.37999725341797,64.44000244140625,56.751800537109375,11284100,0.0,BMY,healthcare
2021-01-27,63.88999938964844,63.88999938964844,61.900001525878906,62.02000045776367,54.620521545410156,13847700,0.0,BMY,healthcare
2021-01-28,62.83000183105469,63.380001068115234,62.20000076293945,62.290000915527344,54.85831069946289,17514700,0.0,BMY,healthcare
2021-01-29,62.29999923706055,62.79999923706055,61.029998779296875,61.43000030517578,54.10092544555664,16092000,0.0,BMY,healthcare
2021-02-01,61.90999984741211,62.869998931884766,61.65999984741211,62.209999084472656,54.7878532409668,11240900,0.0,BMY,healthcare
2021-02-02,63.0,64.63999938964844,62.88999938964844,62.939998626708984,55.43075942993164,16059700,0.0,BMY,healthcare
2021-02-03,62.869998931884766,63.209999084472656,62.0099983215332,62.029998779296875,54.62932586669922,15115000,0.0,BMY,healthcare
2021-02-04,62.0,62.88999938964844,61.2400016784668,61.560001373291016,54.21540451049805,15997000,0.0,BMY,healthcare
2021-02-05,61.060001373291016,61.77000045776367,60.5099983215332,60.91999816894531,53.651763916015625,16249200,0.0,BMY,healthcare
2021-02-08,61.349998474121094,61.369998931884766,59.66999816894531,60.22999954223633,53.04407501220703,18864300,0.0,BMY,healthcare
2021-02-09,60.22999954223633,60.34000015258789,59.68000030517578,59.7599983215332,52.63015365600586,14226100,0.0,BMY,healthcare
2021-02-10,60.099998474121094,60.529998779296875,59.61000061035156,60.0,52.841522216796875,13071000,0.0,BMY,healthcare
2021-02-11,60.0,60.220001220703125,59.70000076293945,59.9900016784668,52.83272171020508,8256800,0.0,BMY,healthcare
2021-02-12,59.86000061035156,60.279998779296875,59.650001525878906,59.9900016784668,52.83272171020508,9493600,0.0,BMY,healthcare
2021-02-16,60.099998474121094,60.369998931884766,59.369998931884766,59.400001525878906,52.313114166259766,12386400,0.0,BMY,healthcare
2021-02-17,59.4900016784668,60.93000030517578,59.41999816894531,60.59000015258789,53.36112976074219,11673500,0.0,BMY,healthcare
2021-02-18,60.310001373291016,61.720001220703125,60.29999923706055,61.02000045776367,53.739837646484375,14076600,0.0,BMY,healthcare
2021-02-19,61.13999938964844,61.5,60.52000045776367,60.599998474121094,53.36994552612305,16997100,0.0,BMY,healthcare
2021-02-22,60.41999816894531,61.2400016784668,59.709999084472656,60.9900016784668,53.713409423828125,9916600,0.0,BMY,healthcare
2021-02-23,61.20000076293945,61.380001068115234,60.029998779296875,60.720001220703125,53.475624084472656,13742000,0.0,BMY,healthcare
2021-02-24,60.900001525878906,62.91999816894531,60.869998931884766,62.59000015258789,55.12251281738281,16517900,0.0,BMY,healthcare
