Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Symbol,Sector
2021-01-04,231.25,231.25,223.6699981689453,226.66000366210938,202.94786071777344,3088200,0.0,AMGN,healthcare
2021-01-05,226.94000244140625,228.89999389648438,224.35000610351562,227.75999450683594,203.9328155517578,2494000,0.0,AMGN,healthcare
2021-01-06,225.0,233.52999877929688,225.0,233.25,208.84848022460938,3754800,0.0,AMGN,healthcare
2021-01-07,231.86000061035156,235.3699951171875,231.47000122070312,234.02000427246094,209.53793334960938,2647800,0.0,AMGN,healthcare
2021-01-08,235.52999877929688,238.86000061035156,235.10000610351562,238.49000549316406,213.54029846191406,2511100,0.0,AMGN,healthcare
2021-01-11,240.0,240.35000610351562,234.42999267578125,237.57000732421875,212.71653747558594,2600500,0.0,AMGN,healthcare
2021-01-12,237.1199951171875,238.77999877929688,235.35000610351562,236.58999633789062,211.83905029296875,1771500,0.0,AMGN,healthcare
2021-01-13,235.99000549316406,238.5,235.22000122070312,237.74000549316406,212.86874389648438,1412300,0.0,AMGN,healthcare
2021-01-14,236.5,243.49000549316406,235.67999267578125,241.66000366210938,216.378662109375,2594000,0.0,AMGN,healthcare
2021-01-15,241.17999267578125,246.83999633789062,240.02000427246094,245.49000549316406,219.80799865722656,2855200,0.0,AMGN,healthcare
2021-01-19,246.5,249.0,246.3800048828125,248.27000427246094,222.29713439941406,2172900,0.0,AMGN,healthcare
2021-01-20,247.4199981689453,253.35000610351562,246.1199951171875,252.36000061035156,225.95925903320312,2768200,0.0,AMGN,healthcare
2021-01-21,252.0,252.72999572753906,249.52000427246094,252.02999877929688,225.66378784179688,2215900,0.0,AMGN,healthcare
2021-01-22,252.25999450683594,255.22999572753906,250.55999755859375,253.5,226.97999572753906,1866600,0.0,AMGN,healthcare
2021-01-25,252.0500030517578,257.1099853515625,251.85000610351562,257.1000061035156,230.20338439941406,1830700,0.0,AMGN,healthcare
2021-01-26,256.5899963378906,259.07000732421875,254.86000061035156,258.6000061035156,231.54649353027344,2008900,0.0,AMGN,healthcare
2021-01-27,255.47000122070312,259.44000244140625,250.32000732421875,251.05999755859375,224.79525756835938,3237900,0.0,AMGN,healthcare
2021-01-28,252.47999572753906,276.69000244140625,243.4499969482422,247.75,221.83154296875,5205600,0.0,AMGN,healthcare
2021-01-29,244.92999267578125,246.47000122070312,240.25,241.42999267578125,216.17271423339844,3792800,0.0,AMGN,healthcare
2021-02-01,244.3000030517578,245.47999572753906,239.5800018310547,240.42999267578125,215.27731323242188,2173500,0.0,AMGN,healthcare
2021-02-02,240.0,241.9499969482422,236.8000030517578,240.49000549316406,215.3310546875,2444200,0.0,AMGN,healthcare
2021-02-03,231.55999755859375,239.8699951171875,231.38999938964844,237.0800018310547,212.2777862548828,4479200,0.0,AMGN,healthcare
2021-02-04,236.27999877929688,237.86000061035156,233.75,237.22000122070312,212.4031219482422,2819700,0.0,AMGN,healthcare
2021-02-05,238.30999755859375,238.8800048828125,235.3800048828125,236.32000732421875,211.59730529785156,2421800,0.0,AMGN,healthcare
2021-02-08,237.99000549316406,239.6300048828125,235.85000610351562,237.57000732421875,212.71653747558594,2258200,0.0,AMGN,healthcare
2021-02-09,237.27999877929688,237.6699981689453,234.7899932861328,236.64999389648438,211.8927764892578,1996500,0.0,AMGN,healthcare
